"key","device","device-id","event","guest-id"
"1578177907","door sensor","130","door closed","Dave"
"1578178080","door sensor","130","successful keycard unlock","Dave"
"1578178087","door sensor","130","door closed","Dave"
"1578178290","access point","ap1-3","user connected","Veronica"
"1578180602","door sensor","130","unlocked no keycard","Dave"
"1578180905","door sensor","130","door closed","Dave"
"1578182423","access point","ap1-4","user connected","Jason"
"1578182427","access point","ap1-4","user disconnected","Jason"
"1578182433","access point","ap1-2","user connected","Thomas"
"1578182434","door sensor","151","successful keycard unlock","Thomas"
"1578182439","door sensor","151","door closed","Thomas"
"1578182443","access point","ap1-2","user connected","Eugene"
"1578182444","door sensor","152","unlocked no keycard","Eugene"
"1578182449","door sensor","152","door closed","Eugene"
"1578182458","access point","ap1-4","user connected","Kristina"
"1578182462","motion sensor","elevator","motion detected","n/a"
"1578182463","access point","ap2-1","user connected","Veronica"
"1578182465","door sensor","210","successful keycard unlock","Veronica"
"1578182530","door sensor","210","door closed","Veronica"
"1578182712","access point","ap1-4","user connected","Alok"
"1578182720","access point","ap1-4","user disconnected","Alok"
"1578183030","door sensor","152","unlocked no keycard","Eugene"
"1578183031","access point","ap1-4","user connected","Eugene"
"1578183033","access point","ap1-4","user disconnected","Eugene"
"1578184201","door sensor","210","unlocked no keycard","Veronica"
"1578184206","door sensor","210","door closed","Veronica"
"1578184207","motion sensor","elevator","motion detected","n/a"
"1578184212","access point","ap1-4","user connected","Jason"
"1578184284","motion sensor","elevator","motion detected","n/a"
"1578184286","motion sensor","elevator","motion detected","n/a"
"1578184290","access point","ap2-3","user connected","Kristina"
"1578184292","door sensor","235","successful keycard unlock","Kristina"
"1578184296","door sensor","235","door closed","Kristina"
"1578184297","access point","ap2-2","user connected","Jason"
"1578184299","door sensor","241","successful keycard unlock","Jason"
"1578184303","door sensor","241","door closed","Jason"
"1578184305","motion sensor","stairwell","motion detected","n/a"
"1578184306","access point","ap1-2","user connected","Veronica"
"1578184308","door sensor","155","successful keycard unlock","Veronica"
"1578184312","door sensor","155","door closed","Veronica"
"1578184314","door sensor","130","unlocked no keycard","Dave"
"1578184318","door sensor","130","door closed","Dave"
"1578184319","access point","ap1-4","user connected","Dave"
"1578186005","door sensor","151","unlocked no keycard","Thomas"
"1578186010","door sensor","151","door closed","Thomas"
"1578186011","door sensor","155","successful keycard unlock","Thomas"
"1578186016","door sensor","155","door closed","Thomas"
"1578186018","door sensor","130","successful keycard unlock","Dave"
"1578186022","door sensor","130","door closed","Dave"
"1578186122","phone","235","off hook","n/a"
"1578186130","phone","reception","off hook","n/a"
"1578186220","phone","235","on hook","n/a"
"1578186222","phone","reception","on hook","n/a"
"1578186271","phone","reception","off hook","n/a"
"1578186273","phone","130","off hook","n/a"
"1578186318","phone","reception","on hook","n/a"
"1578186320","phone","130","on hook","n/a"
"1578186330","access point","ap1-4","user connected","Rob"
"1578186331","access point","ap1-2","user connected","Rob"
"1578186333","door sensor","155","successful keycard unlock","Rob"
"1578186337","door sensor","155","door closed","Rob"
"1578187842","door sensor","155","unlocked no keycard","Veronica"
"1578187847","door sensor","155","door closed","Veronica"
"1578187849","door sensor","155","unlocked no keycard","Thomas"
"1578187852","door sensor","155","door closed","Thomas"
"1578187853","door sensor","150","unlocked no keycard","Veronica"
"1578187854","motion sensor","stairwell","motion detected","n/a"
"1578187855","door sensor","150","door closed","Veronica"
"1578187862","motion sensor","elevator","motion detected","n/a"
"1578187865","access point","ap2-3","user connected","Thomas"
"1578187866","access point","ap2-2","user connected","Thomas"
"1578187867","door sensor","248","successful keycard unlock","Thomas"
"1578187871","door sensor","248","door closed","Thomas"
"1578187992","door sensor","250","successful keycard unlock","Veronica"
"1578187993","motion sensor","stairwell","motion detected","n/a"
"1578187998","door sensor","250","door closed","Veronica"
"1578188000","access point","ap2-2","user connected","Veronica"
"1578188003","access point","ap2-3","user connected","Veronica"
"1578188006","access point","ap2-1","user connected","Veronica"
"1578188054","door sensor","210","successful keycard unlock","Veronica"
"1578188056","door sensor","210","door closed","Veronica"
"1578188192","phone","210","off hook","n/a"
"1578188195","phone","reception","off hook","n/a"
"1578188278","phone","210","on hook","n/a"
"1578188279","phone","reception","on hook","n/a"
"1578188401","door sensor","130","unlocked no keycard","Dave"
"1578188403","door sensor","130","door closed","Dave"
"1578188491","motion sensor","elevator","motion detected","n/a"
"1578188500","access point","ap2-3","user connected","Dave"
"1578188570","door sensor","235","unlocked no keycard","Dave"
"1578188572","door sensor","235","door closed","Dave"
"1578190047","door sensor","150","unlocked no keycard","James"
"1578190049","motion sensor","stairwell","motion detected","n/a"
"1578190052","door sensor","150","door closed","James"
"1578190073","door sensor","235","unlocked no keycard","Kristina"
"1578190077","door sensor","235","door closed","Kristina"
"1578190085","motion sensor","stairwell","motion detected","n/a"
"1578190087","door sensor","250","unlocked no keycard","James"
"1578190092","door sensor","250","door closed","James"
"1578190095","motion sensor","elevator","motion detected","n/a"
"1578190102","motion sensor","elevator","motion detected","n/a"
"1578190104","access point","ap1-4","user connected","Kristina"
"1578190114","access point","ap1-4","user disconnected","Kristina"
"1578190121","door sensor","210","unlocked no keycard","Veronica"
"1578190170","motion sensor","elevator","motion detected","n/a"
"1578190180","door sensor","250","unlocked no keycard","James"
"1578190182","motion sensor","stairwell","motion detected","n/a"
"1578190185","door sensor","250","door closed","James"
"1578190215","motion sensor","stairwell","motion detected","n/a"
"1578190217","door sensor","150","unlocked no keycard","James"
"1578190221","door sensor","150","door closed","James"
"1578190316","access point","ap1-4","user connected","Kristina"
"1578190335","motion sensor","elevator","motion detected","n/a"
"1578190344","access point","ap2-3","user connected","Kristina"
"1578190368","door sensor","235","successful keycard unlock","Kristina"
"1578190373","door sensor","235","door closed","Kristina"
"1578191669","door sensor","248","unlocked no keycard","Thomas"
"1578191674","door sensor","248","door closed","Thomas"
"1578191680","motion sensor","elevator","motion detected","n/a"
"1578191682","motion sensor","elevator","motion detected","n/a"
"1578191683","access point","ap2-3","user connected","Thomas"
"1578191684","access point","ap2-3","user connected","Thomas"
"1578191696","access point","ap2-1","user connected","Thomas"
"1578191699","access point","ap2-2","user connected","Thomas"
"1578191957","phone","231","off hook","n/a"
"1578191961","phone","reception","off hook","n/a"
"1578191989","phone","231","on hook","n/a"
"1578191990","phone","reception","on hook","n/a"
"1578192023","motion sensor","elevator","motion detected","n/a"
"1578192032","access point","ap2-1","user connected","Salina"
"1578192033","door sensor","248","successful keycard unlock","Thomas"
"1578192038","door sensor","248","door closed","Thomas"
"1578192121","motion sensor","elevator","motion detected","n/a"
"1578192125","access point","ap1-4","user connected","Salina"
"1578193305","access point","ap1-4","new client","Harrison"
"1578195372","door sensor","241","unlocked no keycard","Jason"
"1578195377","door sensor","241","door closed","Jason"
"1578195380","motion sensor","elevator","motion detected","n/a"
"1578195383","access point","ap2-3","user connected","Jason"
"1578195400","access point","ap2-1","user connected","Jason"
"1578195410","door sensor","210","door closed","Jason"
"1578195748","door sensor","210","unlocked no keycard","Jason"
"1578195753","door sensor","210","door closed","Jason"
"1578195770","access point","ap2-3","user connected","Jason"
"1578195783","motion sensor","elevator","motion detected","n/a"
"1578195785","access point","ap2-2","user connected","Jason"
"1578195788","door sensor","241","successful keycard unlock","Jason"
"1578195793","door sensor","241","door closed","Jason"
"1578195848","door sensor","235","unlocked no keycard","Kristina"
"1578195853","door sensor","235","door closed","Kristina"
"1578195868","motion sensor","ice machine","motion detected","n/a"
"1578195883","door sensor","235","successful keycard unlock","Kristina"
"1578195887","door sensor","235","door closed","Kristina"
"1578196981","door sensor","241","unlocked no keycard","Jason"
"1578196986","door sensor","241","door closed","Jason"
"1578196988","motion sensor","elevator","motion detected","n/a"
"1578196990","access point","ap2-3","user connected","Jason"
"1578197005","motion sensor","elevator","motion detected","n/a"
"1578197008","access point","ap1-4","user connected","Jason"
"1578197025","access point","ap1-4","user disconnected","Jason"
"1578199628","door sensor","235","unlocked no keycard","Kristina"
"1578199633","door sensor","235","door closed","Kristina"
"1578199648","motion sensor","elevator","motion detected","n/a"
"1578199656","access point","ap1-4","user connected","Kristina"
"1578199897","motion sensor","elevator","motion detected","n/a"
"1578199906","access point","ap2-3","user connected","Kristina"
"1578199930","door sensor","235","successful keycard unlock","Kristina"
"1578199936","door sensor","235","door closed","Kristina"
"1578212696","access point","ap1-4","user connected","Jason"
"1578212715","motion sensor","elevator","motion detected","n/a"
"1578212718","access point","ap2-3","user connected","Jason"
"1578212729","motion sensor","200","motion detected","n/a"
"1578212731","access point","ap2-2","user connected","Jason"
"1578212737","door sensor","241","unlocked no keycard","Jason"
"1578212741","door sensor","241","door closed","Jason"
"1578232040","door sensor","241","unlocked no keycard","Jason"
"1578232043","access point","ap2-3","user connected","Jason"
"1578232047","door sensor","241","door closed","Jason"
"1578232062","motion sensor","elevator","motion detected","n/a"
"1578232077","access point","ap1-4","user connected","Jason"
"1578232320","door sensor","248","unlocked no keycard","Thomas"
"1578232323","access point","ap2-3","user connected","Thomas"
"1578232327","door sensor","248","door closed","Thomas"
"1578232347","motion sensor","elevator","motion detected","n/a"
"1578232362","access point","ap1-4","user connected","Thomas"
"1578232680","access point","ap1-4","user connected","Marc-Andre"
"1578232700","access point","ap1-2","user connected","Marc-Andre"
"1578232705","door sensor","156","successful keycard unlock","Marc-Andre"
"1578232712","door sensor","156","door closed","Marc-Andre"
"1578233040","door sensor","156b","successful keycard unlock","Marc-Andre"
"1578233047","door sensor","156b","door closed","Marc-Andre"
"1578233220","door sensor","156b","unlocked no keycard","Marc-Andre"
"1578233227","door sensor","156b","door closed","Marc-Andre"
"1578233280","door sensor","156","unlocked no keycard","Marc-Andre"
"1578233287","door sensor","156","door closed","Marc-Andre"
"1578233294","access point","ap1-4","user connected","Marc-Andre"
"1578233302","motion sensor","elevator","motion detected","n/a"
"1578233330","access point","ap2-3","user connected","Marc-Andre"
"1578233333","access point","ap2-1","user connected","Marc-Andre"
"1578233334","door sensor","232","successful keycard unlock","Marc-Andre"
"1578233336","door sensor","232","door closed","Marc-Andre"
"1578234000","motion sensor","elevator","motion detected","n/a"
"1578234060","access point","ap1-4","user disconnected","Jason"
"1578234085","access point","ap2-3","user connected","Thomas"
"1578234088","access point","ap2-1","user connected","Thomas"
"1578234210","access point","ap2-3","user connected","Thomas"
"1578234240","motion sensor","elevator","motion detected","n/a"
"1578234300","access point","ap1-4","user connected","Thomas"
"1578234900","door sensor","232","unlocked no keycard","Marc-Andre"
"1578234907","door sensor","232","door closed","Marc-Andre"
"1578234912","door sensor","220","successful keycard unlock","Marc-Andre"
"1578234919","door sensor","220","door closed","Marc-Andre"
"1578236400","door sensor","220","unlocked no keycard","Marc-Andre"
"1578236407","door sensor","220","door closed","Marc-Andre"
"1578236412","door sensor","210","successful keycard unlock","Marc-Andre"
"1578236419","door sensor","210","door closed","Marc-Andre"
"1578236422","phone","210","off hook","n/a"
"1578236424","phone","lobby","off hook","n/a"
"1578236434","phone","210","on hook","n/a"
"1578236441","phone","lobby","on hook","n/a"
"1578236460","phone","lobby","off hook","n/a"
"1578236760","phone","lobby","on hook","n/a"
